P_O_Number,P_O_Date,Vendor_Code,Order_Qty,Vendor_Name,Material_Code,Material_Description,Order_By,Rate
5400002736,17.11.2015,200382,2,M P HARDWARES & CO,16000002895,Doorcloser,Milind,875
5400002736,17.11.2015,200382,1,M P HARDWARES & CO,16000002966,"10"" Handle",Milind,365
5400002736,17.11.2015,200382,1,M P HARDWARES & CO,16000002016,Link Dead Lock,Milind,449
5400002736,17.11.2015,200382,2,M P HARDWARES & CO,16000000324,Machine Bolts,Milind,5
5400002736,17.11.2015,200382,7,M P HARDWARES & CO,,Handle Middle-Stump,Milind,395
5400002736,17.11.2015,200382,26,M P HARDWARES & CO,16000002160,"Zed Ed 4"" Handle",Milind,64
5400002736,17.11.2015,200382,37,M P HARDWARES & CO,16000003201,Brass SS HINGES  4 X 1/2 X 3/4,Milind,51.75
5400002736,17.11.2015,200382,26,M P HARDWARES & CO,16000002527,Astron Catcher,Milind,13.75
5400002736,17.11.2015,200382,4,M P HARDWARES & CO,16000002448,"4""1/2 H R Tower bolt",Milind,35
5400002736,17.11.2015,200382,4,M P HARDWARES & CO,16000002854,"5"" Hinges SS",Milind,82
5400002736,17.11.2015,200382,2,M P HARDWARES & CO,16000002097,"Channel 18""",Milind,162
5400002736,17.11.2015,200382,2,M P HARDWARES & CO,16000002097,Channel 16'',Milind,144
5400002736,17.11.2015,200382,1,M P HARDWARES & CO,16000003176,Screw,Milind,15
5400002736,17.11.2015,200382,300,M P HARDWARES & CO,16000002558,SS Star Screw,Milind,0.95
5400002736,17.11.2015,200382,3,M P HARDWARES & CO,16000001091,25X8 wood screw-Dzn,Milind,24
5400002736,17.11.2015,200382,220,M P HARDWARES & CO,16000002028,19 x 6 CSK Screw (220 Pcs.),Milind,0.65
5400002736,17.11.2015,200382,30,M P HARDWARES & CO,16000003203,Double Bush,Milind,3
5400002736,17.11.2015,200382,4,M P HARDWARES & CO,16000002201,"O"" Crank SS Auto Hinges",Milind,50
5400002736,17.11.2015,200382,4,M P HARDWARES & CO,16000001091,Alum 25X9 wood screw-Dzn,Milind,8
5400002736,17.11.2015,200382,15,M P HARDWARES & CO,16000002363,Nut & Bolt,Milind,5
5400002736,17.11.2015,200382,18,M P HARDWARES & CO,16000003480,Bonus M.P,Milind,74.22
5400002736,17.11.2015,200382,1,M P HARDWARES & CO,16000003480,Wax 50gm,Milind,10
5400002736,17.11.2015,200382,1,M P HARDWARES & CO,16000003480,light hon,Milind,190
5400002736,17.11.2015,200382,1,M P HARDWARES & CO,16000003480,Nc thinner,Milind,58
5400002736,17.11.2015,200382,1,M P HARDWARES & CO,16000003480,lad,Milind,10
5400002736,17.11.2015,200382,6,M P HARDWARES & CO,16000003480,Alex super,Milind,5
5400002736,17.11.2015,200382,50,M P HARDWARES & CO,16000003480,Catte Tear,Milind,0.45
