P_O_Number,P_O_Date,Vendor_Code,Order_Qty,Vendor_Name,Material_Code,Material_Description,Order_By,Rate,Cost_Center
5201003374,13.01.2016,V00001,34,Navkar Enterprises,16000000822,18W PLC Philips/Havells,MK,88,0101A
5201003374,13.01.2016,V10000002,15,Navkar Enterprises,16000000856,18W copper choke,MK,120,0101A
5201003374,13.01.2016,V10000002,6,Navkar Enterprises,16000000857,13W PLC Holder,MK,20,0101A
5201003374,13.01.2016,V00001,5,Navkar Enterprises,16000000857,40W  copper choke,MK,140,0101A
5201003374,13.01.2016,V0000ft1,5,Navkar Enterprises,16000000872,40W TL & TLD,MK,43,0101A
5201003374,13.01.2016,7100011,5,Navkar Enterprises,16000000862,Starter,MK,13,01601A
